rankdate,Mkt,LLTG_RET,HLTG_RET,LLTG_error,HLTG_error
199512,0.015192,0.0542202244659676,-0.0345997009198297,0.0118653527616934,-0.251997882024223
199601,0.028121,0.0150084823398771,0.0106886318403466,-0.0221457168652834,-0.266275193379045
199602,0.016353,-0.026393775986186,0.0348652812110269,-0.0350173901030578,-0.288301959241768
199603,0.010914,0.0207907416979603,-0.0126130846017907,-0.0438905979199924,-0.257783456732944
199604,0.02556,0.0120456846684704,0.0555859854531927,-0.0490544766265743,-0.269351137050575
199605,0.02681,0.00942669053206356,0.0465732391623358,-0.0513401367692698,-0.259780302493476
199606,-0.008289,0.0132237219232978,0.00858508802141386,-0.0361385119620245,-0.281413834362551
199607,-0.053851,-0.0529054056781147,-0.056510846790702,-0.0331914451883108,-0.289948567956591
199608,0.032451,0.0136340749961901,0.0276962513748762,-0.0344985368524254,-0.295855406596911
199609,0.052985,0.00542121538125824,0.112828551939251,-0.0371241818333606,-0.308854939968459
199610,0.013673,0.0537099805034739,0.0213818561845545,-0.0331509754242765,-0.302234271355685
199611,0.065594,0.0478919568527547,0.101097952519536,-0.0315053628461971,-0.316310197983538
199612,-0.011381,7.73296678784505e-05,-0.0322878365262566,-0.0352504703752246,-0.309881547451912
199701,0.053473,0.0307139094413294,0.114016257250692,-0.0394297800062371,-0.290763813407597
199702,-0.001067,-0.00791903333435328,-0.0557439121974053,-0.0436870248536277,-0.354421454818498
199703,-0.044889,-0.0117215528674678,-0.0563796978747973,-0.0411234218249733,-0.327882144043238
199704,0.042396,0.0256363390351009,0.114762116788268,-0.0366981694042848,-0.328507144043238
199705,0.07164,0.0534685528942474,0.0910346104512813,-0.022778310715928,-0.364838723761722
199706,0.044081,0.0301538706160843,0.0130809970127944,-0.0230196900262728,-0.308949462027561
199707,0.076513,0.0508048512359238,0.170199105988167,-0.0294782828786854,-0.293246761903326
199708,-0.036323,-0.01607597155836,-0.032082214886574,-0.0296270114092537,-0.321991639814655
199709,0.058453,0.0553206833139855,0.0395593746266382,-0.0299718389954605,-0.333467383209253
199710,-0.034433,-0.0227833876319578,-0.0636298932186986,-0.0289132765032662,-0.358949446301884
199711,0.030354,0.0256702912446085,0.017102518640838,-0.0400781464684054,-0.356701272628652
199712,0.017822,0.045123041508429,-0.0450174869000018,-0.0290769244096605,-0.368460870669649
199801,0.004511,-0.0212699793325696,0.0834095076085234,-0.0183121433488351,-0.295676074167163
199802,0.073321,0.069084634605748,0.108839730901513,-0.0351911508327244,-0.299766513337501
199803,0.051273,0.0727505082403512,0.0367700274471115,-0.0321427969442111,-0.297792369168447
199804,0.010924,0.0181768995655923,0.030041929315875,-0.0123981344275675,-0.29841754926019
199805,-0.025746,0.0173841562423993,-0.0428921827530738,-0.030743002118208,-0.295502818007808
199806,0.031839,0.0231606387869124,0.111133235937755,-0.0378385110447768,-0.282826748576341
199807,-0.023377,-0.0184589496124801,0.038985753358957,-0.0506526889758567,-0.270606687085577
199808,-0.15786,-0.0586800874070976,-0.163294421062013,-0.04106244938647,-0.268402527855219
199809,0.063814,0.0713239433629261,0.127033373443872,-0.0570418679938561,-0.26079143155807
199810,0.074406,0.0190687153837023,0.0467074797915228,-0.0448315908549532,-0.278197065312563
199811,0.062001,0.0524957036004212,0.0996883929094128,-0.0324953953388531,-0.292217396940286
199812,0.063058,0.0100673322697558,0.16526811186708,-0.0303821548870782,-0.29414364533059
199901,0.038447,-0.0263011638398634,0.164255897947443,-0.0165007878601489,-0.282786171518146
199902,-0.038083,-0.0477766645572728,-0.0957208564466571,-0.0455922568732678,-0.299283097974816
199903,0.037925,0.0291339711293587,0.11442784318409,-0.0450749108080826,-0.265799916255279
199904,0.049092,0.0761596397776805,-0.0180988612969214,0.00507321717288694,-0.279811796334413
199905,-0.020708,0.002015574104162,-0.0393085245653573,-0.0226336893683561,-0.247521420723352
199906,0.050823,-0.0146369840659808,0.102402759411193,0.0142390726584675,-0.245916140052682
199907,-0.030833,-0.0220394640372121,-0.0283983512541079,-0.0625792277154005,-0.253300751032443
199908,-0.009918,0.005601586057828,0.0240072343433047,-0.0616298820745783,-0.254752089619241
199909,-0.022669,-0.0314821326886703,0.00601144872084802,-0.0784289527032956,-0.257598187780228
199910,0.062107,0.0247518123974721,0.0662767398976856,-0.079941624552813,-0.2557763529628
199911,0.036822,-0.0122934253872079,0.0824338883396851,-0.0699071868110238,-0.272529546398968
199912,0.083745,0.0295533171138424,0.215494191018769,-0.0697546300373695,-0.278975986184182
200001,-0.039622,0.00072219444882234,-0.126284460432149,-0.0870975094410562,-0.292260353344493
200002,0.03176,-0.0942534365964455,0.113603893717125,-0.0169508666333451,-0.291291547433726
200003,0.053499,0.0733349127425513,0.0984433374429421,-0.0229432007596753,-0.299903974369486
200004,-0.059519,0.0348877429743978,-0.121343765158031,-0.0259735837306824,-0.316480422349005
200005,-0.038863,-0.0341161719671689,-0.130275465824666,-0.0404937574285851,-0.313877353969287
200006,0.051576,-0.0905592427116749,0.144687362948729,-0.0388931017563892,-0.327302897341521
200007,-0.017679,0.0296119957390502,-0.0452943371464446,-0.0424567239109804,-0.33044754320267
200008,0.074984,0.0806633964665789,0.0905683807737566,-0.0398106870590635,-0.313902433696221
200009,-0.051154,0.0376010459020314,-0.128519677424067,-0.0353617064816158,-0.316685969298697
200010,-0.02448,0.00637697402096057,-0.0947577647293421,-0.0395257774622842,-0.346246665157766
200011,-0.102365,-0.0119166296169922,-0.208510772299951,-0.00676438738405725,-0.340433849909081
200012,0.02045,0.0701549347227578,-0.088221736453541,-0.0147000217551036,-0.3184244063566
200101,0.039573,0.028195869505734,0.124305965603354,-0.044754564719131,-0.287772143413218
200102,-0.099084,0.0193336541586572,-0.308936497400497,0.014726087862234,-0.326054615423685
200103,-0.070408,-0.0183482346996186,-0.185290947963712,0.00772806226942471,-0.310421474751058
200104,0.083834,0.064809456859721,0.185472346372705,0.0224569724103015,-0.250201249600821
200105,0.010442,-0.00946520802570783,-0.00963049593657225,0.0359306462235797,-0.27695510198324
200106,-0.017561,-0.0110621272926168,-0.0416942725994249,0.0274526645661065,-0.251672817195082
200107,-0.018284,0.00575473352652606,-0.0837163741013948,0.0371079186297484,-0.222102578042035
200108,-0.05898,-0.0322536523452931,-0.151506499273677,0.0386215930936731,-0.190990781495987
200109,-0.091497,-0.0550327800697055,-0.207435094672799,0.0350711297091999,-0.132943194531241
200110,0.027847,-0.0207702334887608,0.106982375509616,0.0325464978674483,-0.144981539394071
200111,0.078789,0.01750326258536,0.16124818923617,-0.00171120037081036,-0.105713236269253
200112,0.017854,0.0359233123915367,-0.0245447590282916,-0.00395316144254711,-0.136872824138672
200201,-0.015966,-0.0129448834656741,-0.0399295998217234,-0.0104056640318001,-0.138374443767993
200202,-0.0217,0.0155936960318733,-0.153925057615091,-0.0241592134200867,-0.0845789623292232
200203,0.044698,0.0446601425511864,0.128989989539452,0.00541055907285772,-0.0941543106744491
200204,-0.0496,-0.0725395810053267,-0.127083961400755,0.0106369556021994,-0.0961280157357402
200205,-0.01051,0.0288386072642634,-0.0412919354078651,-0.0265144530014119,-0.0793224038080992
200206,-0.070259,-0.0499288527402866,-0.145080972824132,-0.0221168090789651,-0.054139242537941
200207,-0.081125,-0.112949380461279,-0.105956243504414,-0.0281993127455626,-0.052152746459269
200208,0.007949,-0.0242883602240596,-0.0236531505346143,-0.0418563980924724,-0.0575300719519468
200209,-0.099923,-0.120971117748541,-0.103499786834851,-0.0321347203144636,-0.0539734511854582
200210,0.07494,0.139436872576939,0.154229314871994,-0.0260671237825785,-0.049127605555143
200211,0.061282,0.0746654679536053,0.161385379038001,-0.0116205545265383,-0.0371105004539793
200212,-0.053334,-0.0215659579098881,-0.120187200797498,-0.0163637801180714,-0.0333166243441449
200301,-0.023367,-0.0462049517277868,0.00974213272575009,-0.0245353646464605,-0.0542673541276776
200302,-0.015417,-0.0620047363411856,0.0226826605161118,0.0186178007506725,0.020711945817146
200303,0.010321,0.00852258804846687,0.0410441053027913,0.0472021309326121,0.015965894010478
200304,0.082768,0.076641112488101,0.0680585309208368,0.0487330407226652,0.0291341493449578
200305,0.063471,0.0817880662288077,0.0742870897910471,0.0472368180657363,0.0359026130189993
200306,0.016346,0.0183173745905377,0.00224468268693047,0.0460556245577784,0.0478667867061138
200307,0.023112,-0.0450544875183355,0.0621429077428937,0.050832163250555,0.0473750456231911
200308,0.024965,0.0118999949680892,0.0676715719002208,0.0346429178499671,0.0359891329169467
200309,-0.00912,-0.0116586518200998,-0.0413952357752381,0.0208228399428578,0.0330636307685566
200310,0.060361,0.0385434547326355,0.0874439134114576,0.028063920480374,0.0329728883028529
200311,0.016594,-0.00417049981173353,0.0161849333970618,0.0326174514161718,0.010102735029277
200312,0.045476,0.0893594695273432,0.0189226003029911,0.000364785475856031,0.0250769037711181
200401,0.023042,0.0118497642855751,0.0488700012230049,-6.02331074683272e-05,-0.00484355798462782
200402,0.015443,0.0145049967698834,0.0108429899718369,0.0306774597489625,-0.0561983562206021
200403,-0.010662,-0.0102299474159107,-0.0235074159684795,0.0484003502631096,-0.055365055860454
200404,-0.024222,0.000824035487087758,-0.0369987015521288,0.0285515322851557,-0.0621242655057413
200405,0.014068,-0.0141921476069141,0.0545076507186448,0.0413370796791565,-0.0822019763735031
200406,0.021611,0.020340449611179,0.0102057668004334,0.0426404841242434,-0.0717345309102122
200407,-0.037698,0.00593677642587063,-0.0779807443589343,0.0180406731131051,-0.0758241137598562
200408,0.002703,0.0193018344208849,-0.0159441805756892,0.0321700078272578,-0.123017529900563
200409,0.020556,-0.0230605201360984,0.0384005170445476,0.0257646208744949,-0.0791505064460762
200410,0.017806,0.00543094063416896,0.02904981294071,0.0416088420084312,-0.0822416994626545
200411,0.048214,0.0279003496815106,0.0509160259263353,0.02841073241701,-0.0694600677260222
200412,0.03517,0.0286677011333945,0.0471583039134078,0.0339442974360077,-0.0638234637853526
200501,-0.026546,-0.0387829175066899,-0.0645430473007557,0.0208202684628629,-0.0732552298903522
200502,0.022646,0.0506801014339218,0.00210342342622147,-0.0331934324061897,-0.134155893426323
200503,-0.016944,-0.0111129775767739,-0.0398780245868204,-0.0345620772464534,-0.131721519997558
200504,-0.025206,-0.0113469802866739,-0.0412038949391882,-0.0392205535291957,-0.188550233081246
200505,0.037954,0.012349360536421,0.0784664589701308,-0.0367348753418343,-0.222628042073493
200506,0.011529,0.0216452688654885,-0.0113441916082873,-0.0469526767139713,-0.210108083167958
200507,0.043357,0.0263009618492526,0.0760533044148289,-0.0574185454522794,-0.218179727611141
200508,-0.005958,-0.00533666599883476,-0.00611971345120883,-0.0589157837423201,-0.194168382403447
200509,0.0106,0.0262140947459273,0.0172757421611438,-0.0505434848965108,-0.161322932488952
200510,-0.020866,-0.0602674805308116,-0.029152284368941,-0.0486156278512527,-0.171532631338806
200511,0.040326,0.0160345411056254,0.0716257917807562,-0.0423051926360479,-0.141479787346733
200512,0.003458,0.0224606031093599,-0.00482139691766307,-0.0509816821669692,-0.166207870870987
200601,0.040072,0.0685771718536021,0.053631474124975,-0.0654882985479608,-0.161565799271444
200602,-0.001639,0.0064136372967782,-0.0357290106319391,-0.07381876907209,-0.170011290329697
200603,0.019065,0.00973965374630981,0.0237191020167456,-0.0784080174602407,-0.17453850932661
200604,0.013,0.0187754697817572,0.0113298449258395,-0.0904922479957142,-0.166840919159732
200605,-0.031032,-0.0208631160060907,-0.0678880728613951,-0.0995438161387502,-0.18364759843286
200606,-0.000391,0.0321142390037498,-0.0111192453937584,-0.101456813188957,-0.176058460983085
200607,-0.001912,0.0483421372233166,-0.0533831606586785,-0.119526377780839,-0.185342011774841
200608,0.025041,0.0182043710003395,0.0189385348494575,-0.108830063993696,-0.161626872661965
200609,0.019425,0.0194459958051229,0.0104230363520108,-0.107083005184919,-0.161354739909191
200610,0.037153,0.0212451384260663,0.0521693319919241,-0.116263860645591,-0.140398232896162
200611,0.023736,0.0275762499412661,0.0360306221122113,-0.113650192070492,-0.15604919392517
200612,0.010857,0.0039235770900943,-0.0345539852985065,-0.129779659863889,-0.159254044714799
200701,0.019387,0.0217375938896361,0.022748930300961,-0.127452494989566,-0.160492938613884
200702,-0.014006,-0.0137527112255328,-0.00992750463699117,-0.0962552320935124,-0.107453392239026
200703,0.012954,0.0382223252630668,0.0413324797172073,-0.0833441519623195,-0.1211058769008
200704,0.039834,0.0362166741631277,0.0581592460117952,-0.104350039519736,-0.119562577402159
200705,0.038953,0.0516930555108,0.045333097504454,-0.115421317971847,-0.145213816872746
200706,-0.014747,-0.0170513542443426,0.00352353218768001,-0.118384429221074,-0.144662505234691
200707,-0.03179,-0.0276892131664856,0.00646051495890421,-0.114319063420942,-0.146880119777821
